project_name,file_path,mode,present_full,success_full,leak_full,full_leak_full,partial_leak_full,cascade_leak_full,present_no_unroll_conservative,success_no_unroll_conservative,leak_no_unroll_conservative,full_leak_no_unroll_conservative,partial_leak_no_unroll_conservative,cascade_leak_no_unroll_conservative,present_no_unroll_aggressive,success_no_unroll_aggressive,leak_no_unroll_aggressive,full_leak_no_unroll_aggressive,partial_leak_no_unroll_aggressive,cascade_leak_no_unroll_aggressive,present_single_pass,success_single_pass,leak_single_pass,full_leak_single_pass,partial_leak_single_pass,cascade_leak_single_pass,present_vanguard_lite,success_vanguard_lite,leak_vanguard_lite,full_leak_vanguard_lite,partial_leak_vanguard_lite,cascade_leak_vanguard_lite,difference_reason,task4_category
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Com_Loop_Func.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,0,1,0,leak_count_mismatch,激进召回
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\IF_Com_Func.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,0,1,0,leak_count_mismatch,激进召回
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\NoInput.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\Simple.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\tests\isZero.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\Compiler-Verification\benchmarks\utils\MultiAND@gates.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,工具失败
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\cases\3\temp1.circom,main,True,True,1,0,1,0,True,True,0,0,0,0,True,True,1,0,1,0,True,True,1,0,1,0,True,True,1,0,1,0,leak_count_mismatch,激进召回
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\cases\3\temp2.circom,main,True,True,1,0,1,0,True,True,0,0,0,0,True,True,1,0,1,0,True,True,1,0,1,0,True,True,1,0,1,0,leak_count_mismatch,激进召回
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\workspace\result\1.circom,main,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,1,2,0,leak_count_mismatch,其他差异
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\workspace\result\2.circom,main,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,1,2,0,leak_count_mismatch,其他差异
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\workspace\temp\1\temp.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,1,0,leak_count_mismatch,其他差异
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\workspace\temp\1\temp1.circom,main,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,1,2,0,leak_count_mismatch,其他差异
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\workspace\temp\1\temp2.circom,main,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,1,2,0,leak_count_mismatch,其他差异
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\workspace\temp\2\temp.circom,main,True,True,3,3,0,0,True,True,3,3,0,0,True,True,3,3,0,0,True,True,3,3,0,0,True,True,3,1,3,0,leak_count_mismatch,其他差异
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\workspace\temp\2\temp1.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,4,1,4,0,leak_count_mismatch,其他差异
Ayalyt_blockchain-Verification-Integration,Ayalyt_blockchain-Verification-Integration\compiler-testing\workspace\temp\2\temp2.circom,main,True,True,1,0,1,0,True,True,1,0,1,0,True,True,1,0,1,0,True,True,1,0,1,0,True,True,4,0,4,0,leak_count_mismatch,其他差异
BigWhaleLabs_seal-hub-verifier-template,BigWhaleLabs_seal-hub-verifier-template\circuits\NullifierCreator.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,5,0,5,0,leak_count_mismatch,其他差异
CGuthmann_Infrachain_ZeroKnowledge,CGuthmann_Infrachain_ZeroKnowledge\circuits\circuit_claim.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,1,0,leak_count_mismatch,其他差异
CGuthmann_Infrachain_ZeroKnowledge,CGuthmann_Infrachain_ZeroKnowledge\circuits\circuit_rsa_encrypt.circom,main,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,2,0,0,True,True,2,2,2,0,leak_count_mismatch,其他差异
CGuthmann_Infrachain_ZeroKnowledge,CGuthmann_Infrachain_ZeroKnowledge\circuits\circuit_total.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
CaptainLEVI-XXX_zk2FA,CaptainLEVI-XXX_zk2FA\circuit\HashCheck\hashCheck.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,1,0,leak_count_mismatch,其他差异
CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\BitwiseAND\BitwiseAND.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\BitwiseOR\BitwiseOR.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\BitwiseXOR\BitwiseXOR.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\IntDivOut\IntDivOut.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\IsSorted\IsSorted.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\IsZero\IsZero.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\Power\pow.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,1,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,激进召回
CleanPegasus_zero-knowledge-puzzles,CleanPegasus_zero-knowledge-puzzles\StatefulComputation\StatefulComputation.circom,main,True,True,1,1,0,1,True,True,1,1,0,0,True,True,1,1,0,1,True,True,1,1,0,0,True,True,1,1,1,0,leak_count_mismatch,其他差异
ClearflySystems_encodeclub,ClearflySystems_encodeclub\zkbootcamp\homeworks\homework13\circom\exrx-is-zero\is-zero.task.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\1.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\17.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\18.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\19.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\2.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\20.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\21.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\22.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\23.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\24.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\25.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\26.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\27.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\28.circom,main,True,True,5,5,0,0,True,True,5,5,0,0,True,True,5,5,0,0,True,True,5,5,0,0,True,True,5,5,5,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\29.circom,main,True,True,5,5,0,0,True,True,5,5,0,0,True,True,5,5,0,0,True,True,5,5,0,0,True,True,5,5,5,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\30.circom,main,True,True,5,5,0,0,True,True,5,5,0,0,True,True,5,5,0,0,True,True,5,5,0,0,True,True,5,5,5,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\33.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,1,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\5.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Cryamor_Circom-AST-Extractor,Cryamor_Circom-AST-Extractor\testcase\9.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,0,1,0,leak_count_mismatch,激进召回
DND-Dynamite_L-ZKP,DND-Dynamite_L-ZKP\ZKP_web-app\ZKP\mult.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Daniel-Szego_Zeroknowledgeworkshop,Daniel-Szego_Zeroknowledgeworkshop\3_rollup\transaction.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
DebRC_Vortex,DebRC_Vortex\vortex\circuits\zk_circuit_0.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
DebRC_Vortex,DebRC_Vortex\vortex\circuits\zk_circuit_1.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\Equality\Equality.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\NotEqual\NotEqual.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\Power\pow.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\QuadraticEquation\QuadraticEquation.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,5,0,5,0,leak_count_mismatch,其他差异
Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\Range\Range.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,3,0,3,0,leak_count_mismatch,其他差异
Edward-959_zero-knowledge-puzzles-answer,Edward-959_zero-knowledge-puzzles-answer\multiply.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Galactica-corp_galactica-monorepo,Galactica-corp_galactica-monorepo\packages\zk-certificates\circuits\mains\mimcEnDecrypt.main.circom,main,True,True,2,2,0,1,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,1,0,0,True,True,4,0,4,0,leak_count_mismatch,其他差异
Ghostkey316_ghostkey-316-vaultfire-init,Ghostkey316_ghostkey-316-vaultfire-init\quantum_expansion_v2\biolock.circom,main,True,True,1,0,1,0,True,True,1,0,1,0,True,True,1,0,1,0,True,True,1,0,1,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
GigameshGarages_ReefNet,GigameshGarages_ReefNet\reefApps\circuits\Comparator.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
GigameshGarages_ReefNet,GigameshGarages_ReefNet\reefApps\circuits\Switcher.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,3,0,3,0,leak_count_mismatch,其他差异
HoYongJin_zk-vote,HoYongJin_zk-vote\server\zkp\build_4_5\VoteCheck_temp.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,6,1,6,0,leak_count_mismatch,其他差异
HoYongJin_zk-vote,HoYongJin_zk-vote\server\zkp\build_5_4\VoteCheck_temp.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,6,1,6,0,leak_count_mismatch,其他差异
HoYongJin_zk-vote,HoYongJin_zk-vote\server\zkp\circuits\VoteCheck.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,6,1,6,0,leak_count_mismatch,其他差异
JofArnold_zkp-learning-in-public,JofArnold_zkp-learning-in-public\@projects\06-circom-math\circuits\AssertAssignPrivate.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,1,0,leak_count_mismatch,其他差异
JofArnold_zkp-learning-in-public,JofArnold_zkp-learning-in-public\@projects\06-circom-math\circuits\IsZero.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Kartikvyas1604_SafeMask,Kartikvyas1604_SafeMask\circuits\balance_threshold.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Kartikvyas1604_TrustNet,Kartikvyas1604_TrustNet\circuits\amount_commitment.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
Kartikvyas1604_TrustNet,Kartikvyas1604_TrustNet\circuits\transaction_membership.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
LesterEvSe_Cryptography-Signature-algorithms,LesterEvSe_Cryptography-Signature-algorithms\Circom\ecdsa\m.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,工具失败
Lightency-io_GreenTrust,Lightency-io_GreenTrust\ZKP\equal.circom,main,True,True,2,1,1,1,True,True,2,1,1,1,True,True,2,1,1,1,True,True,1,1,0,0,True,True,2,1,2,0,leak_count_mismatch,其他差异
Lukman-01_RareSkills-Puzzles,Lukman-01_RareSkills-Puzzles\zero-knowledge-puzzles\Equality\Equality.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Lukman-01_RareSkills-Puzzles,Lukman-01_RareSkills-Puzzles\zero-knowledge-puzzles\NotEqual\NotEqual.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
Lukman-01_RareSkills-Puzzles,Lukman-01_RareSkills-Puzzles\zero-knowledge-puzzles\QuadraticEquation\QuadraticEquation.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,5,0,5,0,leak_count_mismatch,其他差异
Lukman-01_RareSkills-Puzzles,Lukman-01_RareSkills-Puzzles\zero-knowledge-puzzles\Range\Range.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,3,0,3,0,leak_count_mismatch,其他差异
MAKMED1337_ZKP-circom,MAKMED1337_ZKP-circom\circuits\merkleTree\buildMerkleTree.circom,main,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,1,0,0,True,True,1,0,1,0,leak_count_mismatch,其他差异
MAKMED1337_ZKP-circom,MAKMED1337_ZKP-circom\problem1\main.circom,main,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,0,0,0,0,True,True,2,0,2,0,leak_count_mismatch,其他差异
