project_name,file_path,mode,present_full,success_full,leak_full,full_leak_full,partial_leak_full,cascade_leak_full,present_no_unroll_conservative,success_no_unroll_conservative,leak_no_unroll_conservative,full_leak_no_unroll_conservative,partial_leak_no_unroll_conservative,cascade_leak_no_unroll_conservative,difference_reason,task4_category
agnij-dutta_sigil,agnij-dutta_sigil\web3\circuits\core\primitives\signature_verify.circom,main,True,True,1,0,1,0,True,True,0,0,0,0,leak_count_mismatch,n/a
alexbabits_circom-puzzles,alexbabits_circom-puzzles\IntSqrtOut\IntSqrtOut.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
alexbabits_circom-puzzles,alexbabits_circom-puzzles\MultiAND\MultiAND.circom,main,True,False,0,0,0,0,True,True,1,1,0,0,success_mismatch,n/a
alexbabits_circom-puzzles,alexbabits_circom-puzzles\MultiOR\MultiOR.circom,main,True,False,0,0,0,0,True,True,1,1,0,0,success_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmulany_test\escalarmulany_test.circom,main,True,True,1,0,1,0,True,True,0,0,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\smtprocessor10_test\smtprocessor10_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\smtverifier10_test\smtverifier10_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last\known_last_assignment_1_mixed\known_last_assignment_1_mixed.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last\known_last_assignment_1_signal_comp\known_last_assignment_1_signal_comp.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_if\if_known_last_assignment_1_mixed\if_known_last_assignment_1_mixed.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_if\if_known_last_assignment_1_signal_comp\if_known_last_assignment_1_signal_comp.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\unknown_last_while\unknown_last_assignment_1_signal_comp\unknown_last_assignment_1_signal_comp.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\arithmetic_test.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\bytes_all_in_range_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\divrem_test.circom,main,True,True,2,2,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\fixed_string_match_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\index_of_test.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\minmax_allequal_count_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\pad_bits_10star_test.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\utils_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\vote_in_allowlist_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
mxber2022_ETHWarsaw,mxber2022_ETHWarsaw\zksnark\packages\circuit\test\circuits\is_valid_puzzle.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
mxber2022_ETHWarsaw,mxber2022_ETHWarsaw\zksnark\packages\circuit\test\circuits\is_valid_puzzle_number_group.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
mxber2022_ETHWarsaw,mxber2022_ETHWarsaw\zksnark\packages\circuit\test\circuits\is_valid_solution.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
mxber2022_ETHWarsaw,mxber2022_ETHWarsaw\zksnark\packages\circuit\test\circuits\is_valid_solution_number_group.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
mxber2022_ETHWarsaw,mxber2022_ETHWarsaw\zksnark\packages\circuit\test\circuits\is_valid_solution_of_puzzle.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
sisu-network_sisu-bridge,sisu-network_sisu-bridge\bls-circom\test\bls_signature\test_miller_loop.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
tanctl_zylith,tanctl_zylith\circuits\test\fixtures\clmm_step_wrapper.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
veljkovranic_shortcircuit,veljkovranic_shortcircuit\src\lib\parser\sample_circuits\recursion.circom,main,True,False,0,0,0,0,True,True,1,1,0,0,success_mismatch,n/a
wyf-ACCEPT_ZK-Decision-Tree-Demo,wyf-ACCEPT_ZK-Decision-Tree-Demo\circuits\simpleDCT\simpleDCT.circom,main,True,True,1,0,1,0,True,True,0,0,0,0,leak_count_mismatch,n/a
