project_name,file_path,mode,present_full,success_full,leak_full,full_leak_full,partial_leak_full,cascade_leak_full,present_no_unroll_aggressive,success_no_unroll_aggressive,leak_no_unroll_aggressive,full_leak_no_unroll_aggressive,partial_leak_no_unroll_aggressive,cascade_leak_no_unroll_aggressive,difference_reason,task4_category
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\smtprocessor10_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
WasinYokk_OTC,WasinYokk_OTC\circomlib-master\test\circuits\smtverifier10_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
agnij-dutta_sigil,agnij-dutta_sigil\web3\circuits\core\primitives\signature_verify.circom,main,True,True,1,0,1,0,True,True,0,0,0,0,leak_count_mismatch,n/a
alexbabits_circom-puzzles,alexbabits_circom-puzzles\MultiAND\MultiAND.circom,main,True,False,0,0,0,0,True,True,1,1,0,0,success_mismatch,n/a
alexbabits_circom-puzzles,alexbabits_circom-puzzles\MultiOR\MultiOR.circom,main,True,False,0,0,0,0,True,True,1,1,0,0,success_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmul_min_test\escalarmul_min_test.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmul_test\escalarmul_test.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmul_test_min\escalarmul_test_min.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmulany_test\escalarmulany_test.circom,main,True,True,1,0,1,0,True,True,0,0,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\escalarmulfix_test\escalarmulfix_test.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\mux1_1\mux1_1.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\mux2_1\mux2_1.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\mux3_1\mux3_1.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\mux4_1\mux4_1.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\smtprocessor10_test\smtprocessor10_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\circomlib_original_2.0\test\smtverifier10_test\smtverifier10_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_array\known_last_assignment_1_mixed_array\known_last_assignment_1_mixed_array.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_array\known_last_assignment_1_signal_comp_array\known_last_assignment_1_signal_comp_array.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_if_array\if_known_last_assignment_1_mixed_array\if_known_last_assignment_1_mixed_array.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\known_last_if_array\if_known_last_assignment_1_signal_comp_array\if_known_last_assignment_1_signal_comp_array.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\unknown_last_while\unknown_last_assignment_1_mixed\unknown_last_assignment_1_mixed.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\unknown_last_while_array\unknown_last_assignment_1_mixed_array\unknown_last_assignment_1_mixed_array.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\unknown_last_while_array\unknown_last_assignment_1_signal_comp_array\unknown_last_assignment_1_signal_comp.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\detecting_last_assignment\unknown_last_while_array\unknown_last_assignment_1_signal_comp_array\unknown_last_assignment_1_signal_comp_array.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex1\ex1_non_parallel\ex1_non_parallel.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex1\ex1_parallel_component\ex1_parallel_component.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex1\ex1_parallel_template\ex1_parallel_template.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\no_parallel\ex1_non_parallel.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\no_parallel\no_parallel.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\parallel_component\ex1_parallel_component.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\parallel_component\parallel_component.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\parallel_template\ex1_parallel_template.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex2\parallel_template\parallel_template.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\no_parallel\ex1_non_parallel.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\no_parallel\no_parallel.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\parallel_component\ex1_parallel_component.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\parallel_component\parallel_component.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\parallel_template\ex1_parallel_template.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex3\parallel_template\parallel_template.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\no_parallel\ex1_non_parallel.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\no_parallel\no_parallel.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\parallel_component\ex1_parallel_component.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\parallel_component\parallel_component.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\parallel_template\ex1_parallel_template.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex4\parallel_template\parallel_template.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\no_parallel\ex1_non_parallel.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\no_parallel\no_parallel.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\parallel_component\ex1_parallel_component.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\parallel_component\parallel_component.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\parallel_template\ex1_parallel_template.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
costa-group_circom_tests,costa-group_circom_tests\examples_parallel_component\ex5\parallel_template\parallel_template.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
elohcrypto_zk-hybrid-rollup,elohcrypto_zk-hybrid-rollup\circuits\batch.circom,main,True,True,1,1,0,0,True,True,2,2,0,0,leak_count_mismatch,n/a
finitology_hardhat-circom-starter,finitology_hardhat-circom-starter\circuits\Pubkey.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
iden3_circuits,iden3_circuits\test\circuits\utils\utils_getSubjectLocation.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
iden3_circuits,iden3_circuits\test\circuits\utils\utils_isExpirable.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
iden3_circuits,iden3_circuits\test\circuits\utils\utils_isUpdatable.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\bitify_test.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\bytes_all_in_range_test.circom,main,True,False,0,0,0,0,True,True,1,1,0,0,success_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\divrem_test.circom,main,True,True,2,2,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\fixed_string_match_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\index_of_test.circom,main,True,True,1,1,0,0,True,True,0,0,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\minmax_allequal_count_test.circom,main,True,False,0,0,0,0,True,True,3,3,0,0,success_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\minn_maxn_test.circom,main,True,True,0,0,0,0,True,True,2,2,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\sha256_256_test.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\sha256_test.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\strict_num2bits_test.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\tally_test.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\utils_test.circom,main,True,False,0,0,0,0,True,True,1,1,0,0,success_mismatch,n/a
jose-blockchain_opencircom,jose-blockchain_opencircom\test\circuits\vote_in_allowlist_test.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
marcozecchini_blindRSANotary,marcozecchini_blindRSANotary\examples\unit_test\mgf\mgf1.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
mxber2022_ETHWarsaw,mxber2022_ETHWarsaw\zksnark\packages\circuit\test\circuits\is_valid_puzzle.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
mxber2022_ETHWarsaw,mxber2022_ETHWarsaw\zksnark\packages\circuit\test\circuits\is_valid_puzzle_number_group.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
mxber2022_ETHWarsaw,mxber2022_ETHWarsaw\zksnark\packages\circuit\test\circuits\is_valid_solution.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
mxber2022_ETHWarsaw,mxber2022_ETHWarsaw\zksnark\packages\circuit\test\circuits\is_valid_solution_number_group.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
mxber2022_ETHWarsaw,mxber2022_ETHWarsaw\zksnark\packages\circuit\test\circuits\is_valid_solution_of_puzzle.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
namnc_circom-2-arithc,namnc_circom-2-arithc\tests\circuits\integration\arrayAssignment.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
namnc_circom-2-arithc,namnc_circom-2-arithc\tests\circuits\machine-learning\AveragePooling2D.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
paradigmxyz_zk-eth-rng,paradigmxyz_zk-eth-rng\circuits\single_block_header_zkp\singleBlockHeader.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
sisu-network_sisu-bridge,sisu-network_sisu-bridge\bls-circom\test\bls_signature\test_miller_loop.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
somesh-banerjee_zkp-tutorial,somesh-banerjee_zkp-tutorial\circom\range\circuit.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
tanctl_zylith,tanctl_zylith\circuits\test\fixtures\clmm_step_wrapper.circom,main,True,False,0,0,0,0,True,True,0,0,0,0,success_mismatch,n/a
veljkovranic_shortcircuit,veljkovranic_shortcircuit\src\lib\parser\sample_circuits\recursion.circom,main,True,False,0,0,0,0,True,True,1,1,0,0,success_mismatch,n/a
victoirefem_bp_final,victoirefem_bp_final\circom-2-arithc\tests\circuits\integration\arrayAssignment.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
victoirefem_bp_final,victoirefem_bp_final\circom-2-arithc\tests\circuits\machine-learning\AveragePooling2D.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
yushihang_circomExamples,yushihang_circomExamples\src\test12.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
zeroqn_zku,zeroqn_zku\assignment-3\card_game\circuits\commit_suit.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
zksecurity_zkbugs,zksecurity_zkbugs\dataset\circom\iden3\circuits\trailofbits_unsafe_use_of_num2bits_in_multiple_circuits\circuits\circuit.circom,main,True,True,0,0,0,0,True,True,1,1,0,0,leak_count_mismatch,n/a
